編號,重劃區名稱,鄉鎮市區,地段,地號,土地面積(m2),使用分區,縣市,coordinate,id,DBSCAN,group_id,group_center,refer_point1,refer_point2,refer_point3,refer_point4
7,高鐵桃園站特區,中壢區,青平段,26,4001.53,商業區,桃園市,"25.01015961848116,121.21455341577382",21,4,4,"25.00925279620425,121.21669381857234","25.036335377574712,121.21669381857234","24.98217021483379,121.21669381857234","25.00925279620425,121.24640199919753","25.00925279620425,121.18698563794715"
7,高鐵桃園站特區,中壢區,青平段,48,3780.54,商業區,桃園市,"25.008400990185876,121.21631026268",22,4,4,"25.00925279620425,121.21669381857234","25.036335377574712,121.21669381857234","24.98217021483379,121.21669381857234","25.00925279620425,121.24640199919753","25.00925279620425,121.18698563794715"
7,高鐵桃園站特區,中壢區,青平段,51,3816.93,商業區,桃園市,"25.00804853228064,121.21595621109644",23,4,4,"25.00925279620425,121.21669381857234","25.036335377574712,121.21669381857234","24.98217021483379,121.21669381857234","25.00925279620425,121.24640199919753","25.00925279620425,121.18698563794715"
7,高鐵桃園站特區,中壢區,青平段,364,6368.27,商業區,桃園市,"25.00725489060657,121.217431426055",24,4,4,"25.00925279620425,121.21669381857234","25.036335377574712,121.21669381857234","24.98217021483379,121.21669381857234","25.00925279620425,121.24640199919753","25.00925279620425,121.18698563794715"
7,高鐵桃園站特區,中壢區,青平段,417,3227.66,商業區,桃園市,"25.00649284392807,121.21542379260818",25,4,4,"25.00925279620425,121.21669381857234","25.036335377574712,121.21669381857234","24.98217021483379,121.21669381857234","25.00925279620425,121.24640199919753","25.00925279620425,121.18698563794715"
7,高鐵桃園站特區,中壢區,青昇段,426,4421.47,商業區,桃園市,"25.01130204492959,121.2200760841369",26,4,4,"25.00925279620425,121.21669381857234","25.036335377574712,121.21669381857234","24.98217021483379,121.21669381857234","25.00925279620425,121.24640199919753","25.00925279620425,121.18698563794715"
7,高鐵桃園站特區,中壢區,青昇段,429,4452.51,商業區,桃園市,"25.01177602725258,121.2195101380429",27,4,4,"25.00925279620425,121.21669381857234","25.036335377574712,121.21669381857234","24.98217021483379,121.21669381857234","25.00925279620425,121.24640199919753","25.00925279620425,121.18698563794715"
8,航空貨運暨客運區重劃區,大園區,客運一段,11,2200.48,商業區,桃園市,"25.06154248959251,121.17671012878084",28,5,5,"25.06030333620801,121.17782860994362","25.08738591757847,121.17782860994362","25.033220754837547,121.17782860994362","25.06030333620801,121.20753679056881","25.06030333620801,121.14812042931842"
8,航空貨運暨客運區重劃區,大園區,客運一段,62,16161.24,商業區,桃園市,"25.05688468927438,121.1741083860318",29,-1,9,"25.05688468927438,121.1741083860318","25.08396727064484,121.1741083860318","25.02980210790392,121.1741083860318","25.05688468927438,121.203816566657","25.05688468927438,121.14440020540661"
8,航空貨運暨客運區重劃區,大園區,客運一段,72,3451.95,商業區,桃園市,"25.059064182823505,121.17894709110638",30,5,5,"25.06030333620801,121.17782860994362","25.08738591757847,121.17782860994362","25.033220754837547,121.17782860994362","25.06030333620801,121.20753679056881","25.06030333620801,121.14812042931842"
9,埔頂市地重劃區,大溪區,仁武段,3,875.72,住宅區,桃園市,"24.89675261122743,121.28430023789518",31,6,6,"24.896507947731436,121.28355860709979","24.923590529101897,121.28355860709979","24.869425366360975,121.28355860709979","24.896507947731436,121.31326678772498","24.896507947731436,121.2538504264746"
9,埔頂市地重劃區,大溪區,仁武段,5,836.4,住宅區,桃園市,"24.89660420145409,121.28453090786876",32,6,6,"24.896507947731436,121.28355860709979","24.923590529101897,121.28355860709979","24.869425366360975,121.28355860709979","24.896507947731436,121.31326678772498","24.896507947731436,121.2538504264746"
9,埔頂市地重劃區,大溪區,仁武段,8,3049.03,住宅區,桃園市,"24.896055570335403,121.28386572002545",33,6,6,"24.896507947731436,121.28355860709979","24.923590529101897,121.28355860709979","24.869425366360975,121.28355860709979","24.896507947731436,121.31326678772498","24.896507947731436,121.2538504264746"
9,埔頂市地重劃區,大溪區,仁武段,15,195.02,住宅區,桃園市,"24.8965555424736,121.2832260131916",34,6,6,"24.896507947731436,121.28355860709979","24.923590529101897,121.28355860709979","24.869425366360975,121.28355860709979","24.896507947731436,121.31326678772498","24.896507947731436,121.2538504264746"
9,埔頂市地重劃區,大溪區,仁武段,16,202.14,住宅區,桃園市,"24.89652878002567,121.28347545861938",35,6,6,"24.896507947731436,121.28355860709979","24.923590529101897,121.28355860709979","24.869425366360975,121.28355860709979","24.896507947731436,121.31326678772498","24.896507947731436,121.2538504264746"
9,埔頂市地重劃區,大溪區,仁武段,18,552.76,住宅區,桃園市,"24.896665025153556,121.2834955751864",36,6,6,"24.896507947731436,121.28355860709979","24.923590529101897,121.28355860709979","24.869425366360975,121.28355860709979","24.896507947731436,121.31326678772498","24.896507947731436,121.2538504264746"
9,埔頂市地重劃區,大溪區,仁武段,39,190.78,住宅區,桃園市,"24.89649715167136,121.28290414810093",37,6,6,"24.896507947731436,121.28355860709979","24.923590529101897,121.28355860709979","24.869425366360975,121.28355860709979","24.896507947731436,121.31326678772498","24.896507947731436,121.2538504264746"
9,埔頂市地重劃區,大溪區,仁武段,41,198.58,住宅區,桃園市,"24.89640469951039,121.28267079591062",38,6,6,"24.896507947731436,121.28355860709979","24.923590529101897,121.28355860709979","24.869425366360975,121.28355860709979","24.896507947731436,121.31326678772498","24.896507947731436,121.2538504264746"
10,新屋中華市地重劃區,新屋區,中華段,353,4296.47,農業區、住宅區,桃園市,"24.970819872549026,121.10767192139926",39,7,7,"24.97091966655907,121.10680096941852","24.99800224792953,121.10680096941852","24.94383708518861,121.10680096941852","24.97091966655907,121.13650915004371","24.97091966655907,121.07709278879332"
10,新屋中華市地重劃區,新屋區,中華段,363,1210.07,住宅區,桃園市,"24.971074945226945,121.10627666115424",40,7,7,"24.97091966655907,121.10680096941852","24.99800224792953,121.10680096941852","24.94383708518861,121.10680096941852","24.97091966655907,121.13650915004371","24.97091966655907,121.07709278879332"
10,新屋中華市地重劃區,新屋區,中華段,364,2249.62,住宅區,桃園市,"24.971284052232598,121.10662803053006",41,7,7,"24.97091966655907,121.10680096941852","24.99800224792953,121.10680096941852","24.94383708518861,121.10680096941852","24.97091966655907,121.13650915004371","24.97091966655907,121.07709278879332"
10,新屋中華市地重劃區,新屋區,中華段,388,1536.94,住宅區,桃園市,"24.97078924612897,121.10684528947392",42,7,7,"24.97091966655907,121.10680096941852","24.99800224792953,121.10680096941852","24.94383708518861,121.10680096941852","24.97091966655907,121.13650915004371","24.97091966655907,121.07709278879332"
10,新屋中華市地重劃區,新屋區,中華段,389,1909.66,住宅區,桃園市,"24.970630216657792,121.10658294453512",43,7,7,"24.97091966655907,121.10680096941852","24.99800224792953,121.10680096941852","24.94383708518861,121.10680096941852","24.97091966655907,121.13650915004371","24.97091966655907,121.07709278879332"
11,變更中壢主要計畫案,新屋區,新洲段,1214,1081.47,住宅區,桃園市,"24.961640445559524,121.14249989390768",44,-1,10,"24.961640445559524,121.14249989390768","24.988723026929986,121.14249989390768","24.934557864189063,121.14249989390768","24.961640445559524,121.17220807453288","24.961640445559524,121.11279171328249"
12,大潭塘背,觀音區,大潭段塘背小段,1613,2008.89,鄉村區乙種建築用地,桃園市,"25.025860974493927,121.0706260800321",45,8,8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837"
12,大潭塘背,觀音區,大潭段塘背小段,1647,575.16,鄉村區乙種建築用地,桃園市,"25.02725236776107,121.07048258185505",46,8,8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837"
