year,month,group_center,refer_point1,refer_point2,refer_point3,refer_point4,group
2015,12,14.0,4.0,6.0,6.0,2.0,1
2016,1,7.0,0.0,3.0,2.0,0.0,1
2016,2,4.0,0.0,1.0,0.0,2.0,1
2016,3,5.0,2.0,4.0,2.0,0.0,1
2016,4,6.0,0.0,1.0,0.0,0.0,1
2016,5,10.0,1.0,3.0,2.0,1.0,1
2016,6,9.0,0.0,4.0,0.0,1.0,1
2016,7,11.0,2.0,2.0,0.0,4.0,1
2016,8,8.0,3.0,1.0,1.0,3.0,1
2016,9,7.0,1.0,3.0,6.0,0.0,1
2016,10,5.0,0.0,6.0,1.0,2.0,1
2016,11,15.0,1.0,1.0,0.0,1.0,1
2016,12,8.0,0.0,5.0,1.0,1.0,1
2017,1,7.0,1.0,3.0,1.0,3.0,1
2017,2,4.0,1.0,2.0,1.0,2.0,1
2017,3,10.0,5.0,2.0,0.0,1.0,1
2017,4,5.0,7.0,4.0,2.0,0.0,1
2017,5,9.0,4.0,4.0,2.0,1.0,1
2017,6,3.0,4.0,6.0,3.0,1.0,1
2017,7,3.0,0.0,0.0,2.0,2.0,1
2017,8,8.0,0.0,2.0,1.0,2.0,1
2017,9,10.0,2.0,2.0,1.0,0.0,1
2017,10,13.0,1.0,0.0,2.0,4.0,1
2017,11,8.0,0.0,0.0,1.0,3.0,1
2017,12,2.0,3.0,0.0,1.0,5.0,1
2018,1,6.0,1.0,6.0,1.0,6.0,1
2018,2,6.0,1.0,0.0,0.0,2.0,1
2018,3,4.0,2.0,5.0,0.0,2.0,1
2018,4,20.0,1.0,9.0,0.0,1.0,1
2018,5,17.0,3.0,5.0,0.0,2.0,1
2018,6,14.0,1.0,6.0,0.0,5.0,1
2018,7,14.0,0.0,8.0,1.0,4.0,1
2018,8,15.0,1.0,2.0,2.0,4.0,1
2018,9,25.0,5.0,6.0,1.0,5.0,1
2018,10,25.0,0.0,1.0,2.0,1.0,1
2018,11,16.0,1.0,1.0,0.0,0.0,1
2018,12,9.0,0.0,1.0,0.0,1.0,1
2019,1,21.0,2.0,4.0,10.0,3.0,1
2019,2,7.0,3.0,5.0,2.0,0.0,1
2019,3,27.0,3.0,2.0,1.0,1.0,1
2019,4,14.0,6.0,4.0,2.0,2.0,1
2019,5,16.0,8.0,10.0,0.0,2.0,1
2019,6,12.0,2.0,15.0,2.0,7.0,1
2019,7,19.0,5.0,9.0,0.0,3.0,1
2019,8,26.0,3.0,6.0,0.0,3.0,1
2019,9,16.0,3.0,6.0,0.0,3.0,1
2019,10,16.0,0.0,4.0,0.0,1.0,1
2019,11,9.0,6.0,7.0,0.0,1.0,1
2019,12,9.0,1.0,5.0,1.0,1.0,1
2020,1,1.0,5.0,3.0,1.0,0.0,1
2020,2,10.0,0.0,1.0,3.0,3.0,1
2020,3,10.0,2.0,5.0,3.0,3.0,1
2020,4,3.0,7.0,7.0,1.0,4.0,1
2020,5,12.0,5.0,3.0,1.0,2.0,1
2020,6,11.0,10.0,8.0,0.0,1.0,1
2020,7,4.0,6.0,9.0,0.0,3.0,1
2020,8,9.0,1.0,12.0,0.0,2.0,1
2020,9,6.0,3.0,6.0,1.0,4.0,1
2020,10,9.0,4.0,3.0,2.0,2.0,1
2020,11,17.0,0.0,4.0,3.0,7.0,1
2020,12,23.0,11.0,5.0,6.0,8.0,1
2021,1,10.0,1.0,3.0,0.0,1.0,1
2021,2,2.0,3.0,0.0,2.0,4.0,1
2021,3,5.0,2.0,4.0,5.0,5.0,1
2021,4,5.0,3.0,7.0,3.0,2.0,1
2021,5,4.0,2.0,2.0,3.0,3.0,1
2021,6,1.0,3.0,3.0,1.0,6.0,1
2021,7,2.0,3.0,4.0,2.0,6.0,1
2021,8,5.0,7.0,12.0,6.0,9.0,1
2021,9,8.0,2.0,7.0,0.0,4.0,1
2021,10,6.0,1.0,0.0,3.0,7.0,1
2021,11,4.0,6.0,8.0,2.0,5.0,1
2021,12,5.0,3.0,7.0,1.0,3.0,1
2022,1,0.0,1.0,4.0,0.0,0.0,1
2022,2,3.0,1.0,6.0,1.0,2.0,1
2022,3,11.0,0.0,12.0,2.0,3.0,1
2012,7,4.0,2.0,3.0,0.0,2.0,2
2012,8,7.0,6.0,0.0,3.0,1.0,2
2012,9,3.0,5.0,4.0,8.0,2.0,2
2012,10,4.0,2.0,3.0,10.0,8.0,2
2012,11,8.0,0.0,9.0,3.0,6.0,2
2012,12,11.0,8.0,11.0,10.0,13.0,2
2013,1,4.0,1.0,8.0,9.0,2.0,2
2013,2,5.0,5.0,8.0,6.0,2.0,2
2013,3,12.0,1.0,10.0,7.0,9.0,2
2013,4,9.0,8.0,10.0,17.0,2.0,2
2013,5,13.0,8.0,12.0,19.0,6.0,2
2013,6,13.0,10.0,7.0,10.0,3.0,2
2013,7,11.0,6.0,11.0,6.0,5.0,2
2013,8,10.0,4.0,12.0,4.0,2.0,2
2013,9,11.0,0.0,13.0,4.0,2.0,2
2013,10,3.0,6.0,20.0,8.0,2.0,2
2013,11,6.0,1.0,14.0,14.0,2.0,2
2013,12,7.0,3.0,16.0,9.0,2.0,2
2014,1,3.0,3.0,16.0,4.0,1.0,2
2014,2,0.0,3.0,11.0,11.0,0.0,2
2014,3,6.0,0.0,9.0,6.0,2.0,2
2014,4,1.0,2.0,12.0,4.0,1.0,2
2014,5,1.0,1.0,5.0,5.0,0.0,2
2014,6,0.0,2.0,6.0,5.0,7.0,2
2014,7,3.0,1.0,9.0,2.0,0.0,2
2014,8,1.0,1.0,4.0,6.0,1.0,2
2014,9,1.0,2.0,8.0,7.0,2.0,2
2014,10,0.0,3.0,6.0,1.0,2.0,2
2014,11,1.0,0.0,4.0,4.0,0.0,2
2014,12,0.0,0.0,22.0,5.0,7.0,2
2015,1,2.0,1.0,8.0,2.0,4.0,2
2015,2,2.0,1.0,5.0,2.0,0.0,2
2015,3,1.0,2.0,4.0,1.0,1.0,2
2015,4,2.0,0.0,1.0,2.0,1.0,2
2015,5,1.0,3.0,13.0,1.0,1.0,2
2015,6,1.0,0.0,4.0,5.0,0.0,2
2015,7,2.0,1.0,10.0,6.0,0.0,2
2015,8,0.0,0.0,4.0,1.0,1.0,2
2015,9,0.0,0.0,7.0,3.0,1.0,2
2015,10,1.0,1.0,8.0,2.0,1.0,2
2015,11,0.0,2.0,7.0,3.0,2.0,2
2015,12,1.0,0.0,11.0,4.0,0.0,2
2016,1,0.0,1.0,2.0,1.0,1.0,2
2016,2,2.0,1.0,2.0,2.0,1.0,2
2016,3,4.0,0.0,3.0,1.0,1.0,2
2016,4,4.0,1.0,1.0,4.0,0.0,2
2016,5,1.0,1.0,1.0,4.0,0.0,2
2016,6,2.0,0.0,4.0,0.0,2.0,2
2016,7,2.0,1.0,3.0,1.0,1.0,2
2016,8,1.0,0.0,0.0,2.0,0.0,2
2016,9,0.0,0.0,6.0,1.0,3.0,2
